br,fl,bl,fr,left,center,right
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,0,0
70,70,70,70,0,0,1
-70,70,70,-70,0,0,1
70,70,70,70,0,0,0
-70,70,70,-70,0,0,1
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,1,0
70,70,70,70,0,0,0
70,70,70,70,0,1,0
70,70,70,70,0,-1,-1
70,-70,-70,70,1,0,0
70,70,70,70,0,0,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
-70,70,70,-70,0,0,1
-70,70,70,-70,0,0,1
-70,70,70,-70,0,0,1
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
-70,70,70,-70,0,0,1
70,70,70,70,0,0,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,-1,-1,-1
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,0,0
70,-70,-70,70,1,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,-1,-1,-1
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,-70,-70,70,1,0,0
70,70,70,70,0,0,0
70,70,70,70,-1,-1,-1
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,1,0
70,-70,-70,70,1,0,0
70,70,70,70,0,0,0
70,70,70,70,-1,-1,-1
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,0,0
-70,70,70,-70,0,0,1
70,70,70,70,0,0,0
-70,70,70,-70,0,0,1
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,-70,-70,70,1,0,0
70,-70,-70,70,1,0,0
70,-70,-70,70,-1,-1,-1
70,70,70,70,0,1,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,-1,-1,-1
70,70,70,70,0,1,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,-70,-70,70,1,0,0
70,-70,-70,70,1,0,0
70,-70,-70,70,1,0,0
70,-70,-70,70,1,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,1,0
70,70,70,70,0,0,0
70,70,70,70,0,1,0
-70,70,70,-70,0,0,1
-70,70,70,-70,0,0,1
70,70,70,70,0,0,0
-70,70,70,-70,0,0,1
70,70,70,70,0,0,0
70,70,70,70,0,0,0
-70,70,70,-70,0,0,1
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,-70,-70,70,1,0,0
70,-70,-70,70,1,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,-70,-70,70,1,0,0
70,70,70,70,0,0,0
70,70,70,70,0,1,0
70,-70,-70,70,1,0,0
70,-70,-70,70,1,0,0
70,-70,-70,70,1,0,0
70,70,70,70,0,0,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,-70,-70,70,1,0,0
70,-70,-70,70,1,0,0
70,-70,-70,70,1,0,0
70,70,70,70,0,1,0
70,70,70,70,0,0,0
70,70,70,70,0,1,0
70,70,70,70,0,0,0
70,-70,-70,70,1,0,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,1,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,-70,-70,70,1,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,-70,-70,70,1,0,0
70,70,70,70,0,0,0
70,70,70,70,0,0,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
70,70,70,70,0,1,0
